title,company,location,date,description,apply_link,scrape_date,skill_python,skill_javascript,skill_django,skill_flask,skill_sql,skill_aws,skill_docker
senior python developer,"Payne, Roberts and Davis","Stewartbury, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
energy engineer,Vasquez-Davidson,"Christopherville, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
fitness centre manager,Savage-Bradley,"East Seanview, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
product manager,Ramirez Inc,"North Jamieview, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
medical technical officer,Rogers-Yates,"Davidville, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
physiological scientist,Kramer-Klein,"South Christopher, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
textile designer,Meyers-Johnson,"Port Jonathan, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
television floor manager,Hughes-Williams,"Osbornetown, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
waste management officer,"Jones, Williams and Villa","Scotttown, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
software engineer (python),Garcia PLC,"Ericberg, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
interpreter,Gregory and Sons,"Ramireztown, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
architect,"Clark, Garcia and Sosa","Figueroaview, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
meteorologist,Bush PLC,"Kelseystad, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
audiological scientist,Salazar-Meyers,"Williamsburgh, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
english as a second language teacher,"Parker, Murphy and Brooks","Mitchellburgh, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
surgeon,Cruz-Brown,"West Jessicabury, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
equities trader,Macdonald-Ferguson,"Maloneshire, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
newspaper journalist,"Williams, Peterson and Rojas","Johnsonton, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
materials engineer,Smith and Sons,"South Davidtown, AP",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
python programmer (entry-level),"Moss, Duncan and Allen","Port Sara, AE",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
product/process development scientist,Gomez-Carroll,"Marktown, AA",2021-04-08,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,True,False,False,False,False,False,False
