Jop title,company,location,date,description,apply_link,scrape_date,skill_python,skill_javascript,skill_django,skill_flask,skill_sql,skill_aws,skill_docker
senior python developer,"Payne, Roberts and Davis","Stewartbury, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
energy engineer,Vasquez-Davidson,"Christopherville, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
legal executive,"Jackson, Chambers and Levy","Port Ericaburgh, AA",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
fitness centre manager,Savage-Bradley,"East Seanview, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
product manager,Ramirez Inc,"North Jamieview, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
medical technical officer,Rogers-Yates,"Davidville, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
physiological scientist,Kramer-Klein,"South Christopher, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
textile designer,Meyers-Johnson,"Port Jonathan, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
television floor manager,Hughes-Williams,"Osbornetown, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
waste management officer,"Jones, Williams and Villa","Scotttown, AP",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
software engineer (python),Garcia PLC,"Ericberg, AE",4/8/2021,"Learn how to build a Model Context Protocol (MCP) server in Python. Connect tools, prompts, and data to AI agents like Cursor for smarter assistants.",https://www.realpython.com,2025-09-29T07:29:01.947902,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
